#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
LR130759.1_1335      -          K03442               -            3.6e-33  114.1   4.7   4.1e-33  113.9   4.7   1.0   1   0   0   1   1   0   1 # 1534070 # 1535050 # 1 # ID=1_1335;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.667
LR130759.1_3300      -          K03442               -            6.4e-29  100.1   3.6   8.8e-29   99.7   3.6   1.2   1   0   0   1   1   0   1 # 3833269 # 3834672 # -1 # ID=1_3300;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.629
LR130759.1_3296      -          K03442               -            5.3e-22   77.3  15.2     2e-21   75.4  15.2   1.7   1   1   0   1   1   0   1 # 3826310 # 3827722 # -1 # ID=1_3296;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.648
LR130759.1_2121      -          K03442               -               0.28    9.1   1.8      0.33    8.9   1.8   1.1   1   0   0   1   1   0   0 # 2396523 # 2397014 # -1 # ID=1_2121;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.644
OX366373.1_605       -          K03442               -               0.62    8.0   5.1      0.69    7.8   5.1   1.1   1   0   0   1   1   0   0 # 666922 # 667350 # 1 # ID=1_605;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.352
LR130759.1_2181      -          K03442               -                1.2    7.0   6.1       1.4    6.8   6.1   1.0   1   0   0   1   1   0   0 # 2481050 # 2481280 # -1 # ID=1_2181;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.632
LR130759.1_1917      -          K03442               -                2.8    5.8  10.1         4    5.3  10.1   1.3   1   0   0   1   1   0   0 # 2161763 # 2162233 # -1 # ID=1_1917;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.650
OX366373.1_218       -          K03442               -                3.1    5.7   8.6      0.66    7.9   0.3   2.0   1   1   1   2   2   0   0 # 244031 # 244507 # 1 # ID=1_218;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.312
LR130759.1_2217      -          K03442               -                4.5    5.1   9.4       8.1    4.3   9.4   1.3   1   0   0   1   1   0   0 # 2519629 # 2520324 # 1 # ID=1_2217;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.674
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /home/pedro/felipe/METABOLIC/kofam_database/profiles/K03442.hmm
# Target file:     /home/pedro/felipe//total.faa
# Option settings: hmmsearch --tblout metabolic_faa_test/intermediate_files/Hmmsearch_Outputs/K03442.hmm.total.hmmsearch_result.txt --domT 238.77 --cpu 1 /home/pedro/felipe/METABOLIC/kofam_database/profiles/K03442.hmm /home/pedro/felipe//total.faa 
# Current dir:     /home/pedro/felipe
# Date:            Thu Apr 27 14:24:00 2023
# [ok]
